Number;Name;Date;Time;Date_gen;Gen_time;Parameter 1;Parameter 2;Parameter 3;Zone;Device
Д348МП;Булычев;11.06.2018;10:20;11.06.2018;;1;ololo;d12;1;a
М674ЫЛ;Ильин;11.06.2018;11:15:23;11.06.2018;11:20;3;hehehe;;2;d
М674ЫЛ;Ильин;11.06.2018;18:28;11.06.2018;;5;;j67;2;d
Р678КА;Назаров;11.06.2018;13:11:12;11.06.2018;13:11:28;4;ururu;y64;1;b
М674ЫЛ;Ильин;;;12.06.2018;10:25;;firfir;;3;f
М674ЫЛ;Ильин;12.06.2018;9:55;12.06.2018;;5;;;3;g
М674ЫЛ;Ильин;12.06.2018;15:40;12.06.2018;;;kurly;g67;4;h
Р678КА;Назаров;12.06.2018;10:00:03;12.06.2018;;7;wow;d56;1;a
Р678КА;Назаров;12.06.2018;14:25;12.06.2018;;;iaiaia;;5;j
Р678КА;Назаров;12.06.2018;15:25:30;12.06.2018;;5;;;5;k
Р678КА;Назаров;;;12.06.2018;16:02;;;t63;5;l
М674ЫЛ;Ильин;13.06.2018;9:40;13.06.2018;;8;;;2;d
Р678КА;Булычев;13.06.2018;9:50;13.06.2018;;;eh;;2;e
Р678КА;Булычев;13.06.2018;9:50:12;13.06.2018;;;huh;;5;j
Р678КА;Булычев;13.06.2018;13:15;13.06.2018;;2;;;5;k
Р678КА;Булычев;;;13.06.2018;14:21;;;f34;5;l
NULL;Щедрин;13.06.2018;9:40:24;13.06.2018;9:40:25;4;kar;;3;f
Т483АС;Ильин;14.06.2018;9:34;14.06.2018;;;oi;;4;h
NULL;Ильин;14.06.2018;9:35;14.06.2018;;;;y73;4;i
NULL;Ильин;14.06.2018;11:12;14.06.2018;;4;;;2;d
М674ЫЛ;Ильин;;;14.06.2018;11:12:35;;bzzzzz;;2;e
М674ЫЛ;Щедрин;14.06.2018;17:40:02;14.06.2018;17:40;1;hru;;2;e
М674ЫЛ;Щедрин;14.06.2018;17:50;14.06.2018;;;pampam;w23;4;i
М674ЫЛ;Щедрин;14.06.2018;18:50:11;14.06.2018;;;;q12;6;m
М674ЫЛ;Щедрин;;;14.06.2018;19:00;6;;;6;n
Д348МП;Булычев;15.06.2018;9:12;15.06.2018;;;vzhuh;;5;j
Р678КА;Булычев;15.06.2018;17:45;15.06.2018;;2;;;5;k
Р678КА;Булычев;;;15.06.2018;18:00;;yahoo;;5;j
Д348МП;Булычев;;;15.06.2018;10:00;;;r56;5;l
Р678КА;Булычев;15.06.2018;9:12:34;15.06.2018;;3;;;5;k
Р678КА;Булычев;15.06.2018;;15.06.2018;18:00;;;a23;5;l
М674ЫЛ;Щедрин;15.06.2018;11:25;15.06.2018;;;er;d43;4;h
М674ЫЛ;Щедрин;;;15.06.2018;16:00;5;;;6;m
М674ЫЛ;Щедрин;15.06.2018;15:11:22;15.06.2018;;;;o89;6;n
А158КМ;Щедрин;15.06.2018;;15.06.2018;19:00;;trololo;;2;e
А158КМ;Щедрин;15.06.2018;18:12:25;15.06.2018;;7;;;2;d
А158КМ;Булычев;16.06.2018;12:12:34;16.06.2018;;;ai;;4;h
Р678КА;Булычев;16.06.2018;12:12:38;16.06.2018;;;;e45;4;i
Т483АС;Ильин;16.06.2018;9:11;16.06.2018;;;;j8;3;g
Т483АС;Ильин;;;16.06.2018;10:00;;oi;;3;f
Т483АС;Ильин;16.06.2018;11:51:12;16.06.2018;;8;;;2;e
Т483АС;Ильин;;;16.06.2018;12:00;;murrr;;2;d
NULL;Булычев;17.06.2018;15:45;17.06.2018;;5;;;5;k
Д348МП;Булычев;;;17.06.2018;16:00;;;r5;5;l
Т483АС;Ильин;17.06.2018;16:12:11;17.06.2018;;2;lalala;w5;1;b
NULL;Булычев;17.06.2018;15:55;17.06.2018;;;hohoho;;5;j
NULL;Булычев;18.06.2018;8:45;18.06.2018;;;;g12;7;o
А158КМ;Булычев;18.06.2018;8:45:20;18.06.2018;;6;;;7;p
Т483АС;Ильин;18.06.2018;10:20;18.06.2018;;3;;t12;5;l
Т483АС;Ильин;;;18.06.2018;11:00;;yihaa;;5;j
М674ЫЛ;Михайлов;18.06.2018;11:26:23;18.06.2018;;8;arriva;;2;d
М674ЫЛ;Михайлов;18.06.2018;13:45:12;18.06.2018;;;;n89;6;m
М674ЫЛ;Михайлов;;;18.06.2018;14:00;9;;;6;n
