Number;Name;Date;Time;Date_gen;Gen_time;Parameter 1;Parameter 2;Parameter 3;Zone;Device;Violation
Д348МП;Булычев;11.06.2018;10:20;11.06.2018;;1;;;1;a;No
Д348МП;Булычев;11.06.2018;10:20:15;11.06.2018;;;ololo;;1;b;No
Д348МП;Булычев;11.06.2018;10:20:18;11.06.2018;;;;d12;1;c;No
М674ЫЛ;Ильин;11.06.2018;11:15:23;11.06.2018;;3;;;2;d;No
М674ЫЛ;Ильин;;;11.06.2018;11:20;;hehehe;;2;e;No
М674ЫЛ;Ильин;11.06.2018;18:28;11.06.2018;;5;;;2;d;No
М674ЫЛ;Ильин;11.06.2018;18:28:03;11.06.2018;;;;j67;2;e;No
Р678КА;Назаров;11.06.2018;13:11:12;11.06.2018;;;ururu;;1;b;No
Р678КА;Назаров;11.06.2018;13:11:14;11.06.2018;;4;;;1;a;No
Р678КА;Назаров;;;11.06.2018;13:11:28;;;y64;1;c;No
М674ЫЛ;Ильин;;;12.06.2018;10:25;;firfir;;3;f;No
М674ЫЛ;Ильин;12.06.2018;9:55;12.06.2018;;5;;;3;g;No
М674ЫЛ;Ильин;12.06.2018;15:40;12.06.2018;;;kurly;;4;h;No
М674ЫЛ;Ильин;12.06.2018;15:41;12.06.2018;;;;g67;4;i;No
Р678КА;Назаров;12.06.2018;10:00:03;12.06.2018;;7;;;1;a;No
Р678КА;Назаров;12.06.2018;10:00:06;12.06.2018;;;;d56;1;c;No
Р678КА;Назаров;12.06.2018;10:00:08;12.06.2018;;;wow;;1;b;No
Р678КА;Назаров;12.06.2018;14:25;12.06.2018;;;iaiaia;;5;j;No
Р678КА;Назаров;12.06.2018;15:25:30;12.06.2018;;5;;;5;k;No
Р678КА;Назаров;;;12.06.2018;16:02;;;t63;5;l;No
М674ЫЛ;NULL;13.06.2018;9:40;13.06.2018;;8;;;2;d;No
Р678КА;Булычев;13.06.2018;9:50;13.06.2018;;;eh;;2;e;No
Р678КА;Булычев;13.06.2018;9:50:12;13.06.2018;;;huh;;5;j;No
Р678КА;Булычев;13.06.2018;13:15;13.06.2018;;2;;;5;k;No
Р678КА;Булычев;;;13.06.2018;14:21;;;f34;5;l;No
NULL;Щедрин;13.06.2018;9:40:24;13.06.2018;;4;;;3;f;Yes
NULL;Щедрин;;;13.06.2018;9:40:25;;kar;;3;g;No
Т483АС;Ильин;14.06.2018;9:34;14.06.2018;;;oi;;4;h;No
NULL;Ильин;14.06.2018;9:35;14.06.2018;;;;y73;4;i;No
NULL;Ильин;14.06.2018;11:12;14.06.2018;;4;;;2;d;No
М674ЫЛ;Ильин;;;14.06.2018;11:12:35;;bzzzzz;;2;e;No
М674ЫЛ;Щедрин;14.06.2018;;14.06.2018;17:40;;hru;;2;e;No
М674ЫЛ;Щедрин;14.06.2018;17:40:02;14.06.2018;;1;;;2;d;No
М674ЫЛ;Щедрин;14.06.2018;17:50;14.06.2018;;;;w23;4;i;No
М674ЫЛ;Щедрин;14.06.2018;17:50:10;14.06.2018;;;pampam;;4;h;No
М674ЫЛ;Щедрин;14.06.2018;18:50:11;14.06.2018;;;;q12;6;m;No
М674ЫЛ;Щедрин;;;14.06.2018;19:00;6;;;6;n;No
Д348МП;Булычев;15.06.2018;9:12;15.06.2018;;;vzhuh;;5;j;No
Р678КА;Булычев;15.06.2018;17:45;15.06.2018;;2;;;5;k;No
Р678КА;Булычев;;;15.06.2018;18:00;;yahoo;;5;j;No
Д348МП;Булычев;;;15.06.2018;10:00;;;r56;5;l;No
NULL;Булычев;15.06.2018;9:12:34;15.06.2018;;3;;;5;k;No
NULL;Булычев;15.06.2018;;15.06.2018;18:00;;;a23;5;l;No
М674ЫЛ;Щедрин;15.06.2018;11:25;15.06.2018;;;er;;4;h;No
М674ЫЛ;Щедрин;15.06.2018;11:25:08;15.06.2018;;;;d43;4;i;No
М674ЫЛ;Щедрин;;;15.06.2018;16:00;5;;;6;m;No
М674ЫЛ;Щедрин;15.06.2018;15:11:22;15.06.2018;;;;o89;6;n;No
А158КМ;Щедрин;15.06.2018;;15.06.2018;19:00;;trololo;;2;e;Yes
А158КМ;Щедрин;15.06.2018;18:12:25;15.06.2018;;7;;;2;d;No
А158КМ;Булычев;16.06.2018;12:12:34;16.06.2018;;;ai;;4;h;No
NULL;Булычев;16.06.2018;12:12:38;16.06.2018;;;;e45;4;i;No
Т483АС;Ильин;16.06.2018;9:11;16.06.2018;;;;j8;3;g;No
Т483АС;Ильин;;;16.06.2018;10:00;;oi;;3;f;No
Т483АС;Ильин;16.06.2018;11:51:12;16.06.2018;;8;;;2;e;No
Т483АС;Ильин;;;16.06.2018;12:00;;murrr;;2;d;No
NULL;Булычев;17.06.2018;15:45;17.06.2018;;5;;;5;k;No
Д348МП;Булычев;;;17.06.2018;16:00;;;r5;5;l;No
Т483АС;Ильин;17.06.2018;16:12:11;17.06.2018;;;lalala;;1;b;No
Т483АС;Ильин;17.06.2018;16:12:15;17.06.2018;;2;;;1;a;No
Т483АС;Ильин;17.06.2018;16:12:30;17.06.2018;;;;w5;1;c;No
NULL;Булычев;17.06.2018;15:55;17.06.2018;;;hohoho;;5;j;Yes
NULL;Булычев;18.06.2018;8:45;18.06.2018;;;;g12;7;o;No
А158КМ;Булычев;18.06.2018;8:45:20;18.06.2018;;6;;;7;p;No
Т483АС;Ильин;18.06.2018;10:20;18.06.2018;;;;t12;5;l;Yes
Т483АС;Ильин;18.06.2018;10:20:12;18.06.2018;;3;;;5;k;No
Т483АС;Ильин;;;18.06.2018;11:00;;yihaa;;5;j;No
М674ЫЛ;Михайлов;18.06.2018;11:26:23;18.06.2018;;8;;;2;d;No
М674ЫЛ;Михайлов;18.06.2018;11:26:30;18.06.2018;;;arriva;;2;e;No
М674ЫЛ;Михайлов;18.06.2018;13:45:12;18.06.2018;;;;n89;6;m;No
М674ЫЛ;Михайлов;;;18.06.2018;14:00;9;;;6;n;No
Д348МП;Булычев;11.06.2018;10:20;11.06.2018;;1;;;1;a;No
Д348МП;Булычев;11.06.2018;10:20:15;11.06.2018;;;ololo;;1;b;No
Д348МП;Булычев;11.06.2018;10:20:18;11.06.2018;;;;d12;1;c;No
М674ЫЛ;Ильин;11.06.2018;11:15:23;11.06.2018;;3;;;2;d;No
М674ЫЛ;Ильин;;;11.06.2018;11:20;;hehehe;;2;e;No
М674ЫЛ;Ильин;11.06.2018;18:28;11.06.2018;;5;;;2;d;No
М674ЫЛ;Ильин;11.06.2018;18:28:03;11.06.2018;;;;j67;2;e;Yes
Р678КА;Назаров;11.06.2018;13:11:12;11.06.2018;;;ururu;;1;b;No
Р678КА;Назаров;11.06.2018;13:11:14;11.06.2018;;4;;;1;a;No
Р678КА;Назаров;;;11.06.2018;13:11:28;;;y64;1;c;No
М674ЫЛ;Ильин;;;12.06.2018;10:25;;firfir;;3;f;No
М674ЫЛ;Ильин;12.06.2018;9:55;12.06.2018;;5;;;3;g;No
М674ЫЛ;Ильин;12.06.2018;15:40;12.06.2018;;;kurly;;4;h;No
М674ЫЛ;Ильин;12.06.2018;15:41;12.06.2018;;;;g67;4;i;No
Р678КА;Назаров;12.06.2018;10:00:03;12.06.2018;;7;;;1;a;No
Р678КА;Назаров;12.06.2018;10:00:06;12.06.2018;;;;d56;1;c;No
Р678КА;Назаров;12.06.2018;10:00:08;12.06.2018;;;wow;;1;b;No
Р678КА;Назаров;12.06.2018;14:25;12.06.2018;;;iaiaia;;5;j;No
Р678КА;Назаров;12.06.2018;15:25:30;12.06.2018;;5;;;5;k;No
Р678КА;Назаров;;;12.06.2018;16:02;;;t63;5;l;No
М674ЫЛ;NULL;13.06.2018;9:40;13.06.2018;;8;;;2;d;No
Р678КА;Булычев;13.06.2018;9:50;13.06.2018;;;eh;;2;e;No
Р678КА;Булычев;13.06.2018;9:50:12;13.06.2018;;;huh;;5;j;No
Р678КА;Булычев;13.06.2018;13:15;13.06.2018;;2;;;5;k;No
Р678КА;Булычев;;;13.06.2018;14:21;;;f34;5;l;Yes
NULL;Щедрин;13.06.2018;9:40:24;13.06.2018;;4;;;3;f;No
NULL;Щедрин;;;13.06.2018;9:40:25;;kar;;3;g;No
Т483АС;Ильин;14.06.2018;9:34;14.06.2018;;;oi;;4;h;No
NULL;Ильин;14.06.2018;9:35;14.06.2018;;;;y73;4;i;No
NULL;Ильин;14.06.2018;11:12;14.06.2018;;4;;;2;d;No
М674ЫЛ;Ильин;;;14.06.2018;11:12:35;;bzzzzz;;2;e;No
М674ЫЛ;Щедрин;14.06.2018;;14.06.2018;17:40;;hru;;2;e;Yes
М674ЫЛ;Щедрин;14.06.2018;17:40:02;14.06.2018;;1;;;2;d;No
М674ЫЛ;Щедрин;14.06.2018;17:50;14.06.2018;;;;w23;4;i;Yes
М674ЫЛ;Щедрин;14.06.2018;17:50:10;14.06.2018;;;pampam;;4;h;No
М674ЫЛ;Щедрин;14.06.2018;18:50:11;14.06.2018;;;;q12;6;m;No
М674ЫЛ;Щедрин;;;14.06.2018;19:00;6;;;6;n;No
Д348МП;Булычев;15.06.2018;9:12;15.06.2018;;;vzhuh;;5;j;Yes
Р678КА;Булычев;15.06.2018;17:45;15.06.2018;;2;;;5;k;No
Р678КА;Булычев;;;15.06.2018;18:00;;yahoo;;5;j;No
Д348МП;Булычев;;;15.06.2018;10:00;;;r56;5;l;No
NULL;Булычев;15.06.2018;9:12:34;15.06.2018;;3;;;5;k;No
NULL;Булычев;15.06.2018;;15.06.2018;18:00;;;a23;5;l;No
М674ЫЛ;Щедрин;15.06.2018;11:25;15.06.2018;;;er;;4;h;No
М674ЫЛ;Щедрин;15.06.2018;11:25:08;15.06.2018;;;;d43;4;i;No
М674ЫЛ;Щедрин;;;15.06.2018;16:00;5;;;6;m;No
М674ЫЛ;Щедрин;15.06.2018;15:11:22;15.06.2018;;;;o89;6;n;No
А158КМ;Щедрин;15.06.2018;;15.06.2018;19:00;;trololo;;2;e;No
А158КМ;Щедрин;15.06.2018;18:12:25;15.06.2018;;7;;;2;d;No
А158КМ;Булычев;16.06.2018;12:12:34;16.06.2018;;;ai;;4;h;No
NULL;Булычев;16.06.2018;12:12:38;16.06.2018;;;;e45;4;i;No
Т483АС;Ильин;16.06.2018;9:11;16.06.2018;;;;j8;3;g;No
Т483АС;Ильин;;;16.06.2018;10:00;;oi;;3;f;No
Т483АС;Ильин;16.06.2018;11:51:12;16.06.2018;;8;;;2;e;No
Т483АС;Ильин;;;16.06.2018;12:00;;murrr;;2;d;No
NULL;Булычев;17.06.2018;15:45;17.06.2018;;5;;;5;k;No
Д348МП;Булычев;;;17.06.2018;16:00;;;r5;5;l;No
Т483АС;Ильин;17.06.2018;16:12:11;17.06.2018;;;lalala;;1;b;No
Т483АС;Ильин;17.06.2018;16:12:15;17.06.2018;;2;;;1;a;No
Т483АС;Ильин;17.06.2018;16:12:30;17.06.2018;;;;w5;1;c;No
NULL;Булычев;17.06.2018;15:55;17.06.2018;;;hohoho;;5;j;No
NULL;Булычев;18.06.2018;8:45;18.06.2018;;;;g12;7;o;No
А158КМ;Булычев;18.06.2018;8:45:20;18.06.2018;;6;;;7;p;No
Т483АС;Ильин;18.06.2018;10:20;18.06.2018;;;;t12;5;l;No
Т483АС;Ильин;18.06.2018;10:20:12;18.06.2018;;3;;;5;k;No
Т483АС;Ильин;;;18.06.2018;11:00;;yihaa;;5;j;Yes
М674ЫЛ;Михайлов;18.06.2018;11:26:23;18.06.2018;;8;;;2;d;No
М674ЫЛ;Михайлов;18.06.2018;11:26:30;18.06.2018;;;arriva;;2;e;No
М674ЫЛ;Михайлов;18.06.2018;13:45:12;18.06.2018;;;;n89;6;m;No
М674ЫЛ;Михайлов;;;18.06.2018;14:00;9;;;6;n;No
Д348МП;Булычев;11.06.2018;10:20;11.06.2018;;1;;;1;a;No
Д348МП;Булычев;11.06.2018;10:20:15;11.06.2018;;;ololo;;1;b;No
Д348МП;Булычев;11.06.2018;10:20:18;11.06.2018;;;;d12;1;c;No
М674ЫЛ;Ильин;11.06.2018;11:15:23;11.06.2018;;3;;;2;d;No
М674ЫЛ;Ильин;;;11.06.2018;11:20;;hehehe;;2;e;No
М674ЫЛ;Ильин;11.06.2018;18:28;11.06.2018;;5;;;2;d;Yes
М674ЫЛ;Ильин;11.06.2018;18:28:03;11.06.2018;;;;j67;2;e;No
Р678КА;Назаров;11.06.2018;13:11:12;11.06.2018;;;ururu;;1;b;No
Р678КА;Назаров;11.06.2018;13:11:14;11.06.2018;;4;;;1;a;No
Р678КА;Назаров;;;11.06.2018;13:11:28;;;y64;1;c;No
М674ЫЛ;Ильин;;;12.06.2018;10:25;;firfir;;3;f;Yes
М674ЫЛ;Ильин;12.06.2018;9:55;12.06.2018;;5;;;3;g;No
М674ЫЛ;Ильин;12.06.2018;15:40;12.06.2018;;;kurly;;4;h;No
М674ЫЛ;Ильин;12.06.2018;15:41;12.06.2018;;;;g67;4;i;No
Р678КА;Назаров;12.06.2018;10:00:03;12.06.2018;;7;;;1;a;No
Р678КА;Назаров;12.06.2018;10:00:06;12.06.2018;;;;d56;1;c;No
Р678КА;Назаров;12.06.2018;10:00:08;12.06.2018;;;wow;;1;b;No
Р678КА;Назаров;12.06.2018;14:25;12.06.2018;;;iaiaia;;5;j;Yes
Р678КА;Назаров;12.06.2018;15:25:30;12.06.2018;;5;;;5;k;Yes
Р678КА;Назаров;;;12.06.2018;16:02;;;t63;5;l;No
М674ЫЛ;NULL;13.06.2018;9:40;13.06.2018;;8;;;2;d;No
Р678КА;Булычев;13.06.2018;9:50;13.06.2018;;;eh;;2;e;No
Р678КА;Булычев;13.06.2018;9:50:12;13.06.2018;;;huh;;5;j;No
Р678КА;Булычев;13.06.2018;13:15;13.06.2018;;2;;;5;k;No
Р678КА;Булычев;;;13.06.2018;14:21;;;f34;5;l;No
NULL;Щедрин;13.06.2018;9:40:24;13.06.2018;;4;;;3;f;No
NULL;Щедрин;;;13.06.2018;9:40:25;;kar;;3;g;No
Т483АС;Ильин;14.06.2018;9:34;14.06.2018;;;oi;;4;h;No
NULL;Ильин;14.06.2018;9:35;14.06.2018;;;;y73;4;i;No
NULL;Ильин;14.06.2018;11:12;14.06.2018;;4;;;2;d;No
М674ЫЛ;Ильин;;;14.06.2018;11:12:35;;bzzzzz;;2;e;No
М674ЫЛ;Щедрин;14.06.2018;;14.06.2018;17:40;;hru;;2;e;No
М674ЫЛ;Щедрин;14.06.2018;17:40:02;14.06.2018;;1;;;2;d;No
М674ЫЛ;Щедрин;14.06.2018;17:50;14.06.2018;;;;w23;4;i;No
М674ЫЛ;Щедрин;14.06.2018;17:50:10;14.06.2018;;;pampam;;4;h;No
М674ЫЛ;Щедрин;14.06.2018;18:50:11;14.06.2018;;;;q12;6;m;No
М674ЫЛ;Щедрин;;;14.06.2018;19:00;6;;;6;n;No
Д348МП;Булычев;15.06.2018;9:12;15.06.2018;;;vzhuh;;5;j;No
Р678КА;Булычев;15.06.2018;17:45;15.06.2018;;2;;;5;k;No
Р678КА;Булычев;;;15.06.2018;18:00;;yahoo;;5;j;No
Д348МП;Булычев;;;15.06.2018;10:00;;;r56;5;l;No
NULL;Булычев;15.06.2018;9:12:34;15.06.2018;;3;;;5;k;No
NULL;Булычев;15.06.2018;;15.06.2018;18:00;;;a23;5;l;No
М674ЫЛ;Щедрин;15.06.2018;11:25;15.06.2018;;;er;;4;h;No
М674ЫЛ;Щедрин;15.06.2018;11:25:08;15.06.2018;;;;d43;4;i;No
М674ЫЛ;Щедрин;;;15.06.2018;16:00;5;;;6;m;No
М674ЫЛ;Щедрин;15.06.2018;15:11:22;15.06.2018;;;;o89;6;n;Yes
А158КМ;Щедрин;15.06.2018;;15.06.2018;19:00;;trololo;;2;e;Yes
